task_id,family_id,pool,condition,success,resolution_status,tokens,browser_calls,latency_ms,unknown,false_accept,bound_action
family_00_B_0,family_00,B,SPIDER,True,EXECUTABLE,50,1,0,False,False,{"body": {"product": "A_PRODUCT_00_0B_PRODUCT_00_00", "quantity": 1, "sku": "A_SKU_00_00B_SKU_00_000"}, "headers": {"X-CSRF": "A_TOKEN_00_00B_TOKEN_00_000", "X-Request-ID": "req-req-0"}, "method": "POST", "path": "https://platform_00.example.com/cart/A_SKU_00_00B_SKU_00_000"}
family_00_B_1,family_00,B,SPIDER,True,EXECUTABLE,50,1,0,False,False,{"body": {"product": "A_PRODUCT_00_0B_PRODUCT_00_01", "quantity": 1, "sku": "A_SKU_00_00B_SKU_00_001"}, "headers": {"X-CSRF": "A_TOKEN_00_00B_TOKEN_00_001", "X-Request-ID": "req-req-1"}, "method": "POST", "path": "https://platform_00.example.com/cart/A_SKU_00_00B_SKU_00_001"}
family_00_B_2,family_00,B,SPIDER,True,EXECUTABLE,50,1,0,False,False,{"body": {"product": "A_PRODUCT_00_0B_PRODUCT_00_02", "quantity": 1, "sku": "A_SKU_00_00B_SKU_00_002"}, "headers": {"X-CSRF": "A_TOKEN_00_00B_TOKEN_00_002", "X-Request-ID": "req-req-2"}, "method": "POST", "path": "https://platform_00.example.com/cart/A_SKU_00_00B_SKU_00_002"}
family_00_B_3,family_00,B,SPIDER,True,EXECUTABLE,50,1,0,False,False,{"body": {"product": "A_PRODUCT_00_0B_PRODUCT_00_03", "quantity": 1, "sku": "A_SKU_00_00B_SKU_00_003"}, "headers": {"X-CSRF": "A_TOKEN_00_00B_TOKEN_00_003", "X-Request-ID": "req-req-3"}, "method": "POST", "path": "https://platform_00.example.com/cart/A_SKU_00_00B_SKU_00_003"}
family_00_B_4,family_00,B,SPIDER,True,EXECUTABLE,50,1,0,False,False,{"body": {"product": "A_PRODUCT_00_0B_PRODUCT_00_04", "quantity": 1, "sku": "A_SKU_00_00B_SKU_00_004"}, "headers": {"X-CSRF": "A_TOKEN_00_00B_TOKEN_00_004", "X-Request-ID": "req-req-4"}, "method": "POST", "path": "https://platform_00.example.com/cart/A_SKU_00_00B_SKU_00_004"}
family_00_B_5,family_00,B,SPIDER,True,EXECUTABLE,50,1,0,False,False,{"body": {"product": "A_PRODUCT_00_0B_PRODUCT_00_05", "quantity": 1, "sku": "A_SKU_00_00B_SKU_00_005"}, "headers": {"X-CSRF": "A_TOKEN_00_00B_TOKEN_00_005", "X-Request-ID": "req-req-5"}, "method": "POST", "path": "https://platform_00.example.com/cart/A_SKU_00_00B_SKU_00_005"}
family_01_B_0,family_01,B,SPIDER,True,EXECUTABLE,50,1,0,False,False,{"body": {"product": "A_PRODUCT_00_0B_PRODUCT_01_00", "quantity": 1, "sku": "A_SKU_00_00B_SKU_01_000"}, "headers": {"X-CSRF": "A_TOKEN_00_00B_TOKEN_01_000", "X-Request-ID": "req-req-0"}, "method": "POST", "path": "https://platform_00.example.com/cart/A_SKU_00_00B_SKU_01_000"}
family_01_B_1,family_01,B,SPIDER,True,EXECUTABLE,50,1,0,False,False,{"body": {"product": "A_PRODUCT_00_0B_PRODUCT_01_01", "quantity": 1, "sku": "A_SKU_00_00B_SKU_01_001"}, "headers": {"X-CSRF": "A_TOKEN_00_00B_TOKEN_01_001", "X-Request-ID": "req-req-1"}, "method": "POST", "path": "https://platform_00.example.com/cart/A_SKU_00_00B_SKU_01_001"}
family_01_B_2,family_01,B,SPIDER,True,EXECUTABLE,50,1,0,False,False,{"body": {"product": "A_PRODUCT_00_0B_PRODUCT_01_02", "quantity": 1, "sku": "A_SKU_00_00B_SKU_01_002"}, "headers": {"X-CSRF": "A_TOKEN_00_00B_TOKEN_01_002", "X-Request-ID": "req-req-2"}, "method": "POST", "path": "https://platform_00.example.com/cart/A_SKU_00_00B_SKU_01_002"}
family_01_B_3,family_01,B,SPIDER,True,EXECUTABLE,50,1,0,False,False,{"body": {"product": "A_PRODUCT_00_0B_PRODUCT_01_03", "quantity": 1, "sku": "A_SKU_00_00B_SKU_01_003"}, "headers": {"X-CSRF": "A_TOKEN_00_00B_TOKEN_01_003", "X-Request-ID": "req-req-3"}, "method": "POST", "path": "https://platform_00.example.com/cart/A_SKU_00_00B_SKU_01_003"}
